brand_name,genre_name,link,link_logo
Samsung,Headphone,https://www.thegioididong.com/tai-nghe-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-220x48-6.png
Mozard,Headphone,https://www.thegioididong.com/tai-nghe-mozard,https://cdn.tgdd.vn/Brand/1/Mozard54-b_35.jpg
Xmobile,Headphone,https://www.thegioididong.com/tai-nghe-xmobile,https://cdn.tgdd.vn/Brand/1/Xmobile-220x48-1.jpeg
Kanen,Headphone,https://www.thegioididong.com/tai-nghe-kanen,https://cdn.tgdd.vn/Brand/1/Kanen54-b_9.jpg
Belkin,Headphone,https://www.thegioididong.com/tai-nghe-belkin,https://cdn.tgdd.vn/Brand/1/Belkin54-b_57.jpg
Rapoo,Headphone,https://www.thegioididong.com/tai-nghe-rapoo,https://cdn.tgdd.vn/Brand/1/Rapoo54-b_55.png
Mozardx,Headphone,https://www.thegioididong.com/tai-nghe-mozardx,https://cdn.tgdd.vn/Brand/1/MozardX54-b_7.jpg
Ava,Headphone,https://www.thegioididong.com/tai-nghe-ava,https://cdn.tgdd.vn/Brand/1/220-48-220x48-10-220x48-1.jpeg
Apple,Headphone,https://www.thegioididong.com/tai-nghe-apple,https://cdn.tgdd.vn/Brand/1/Apple54-b_5.jpg
Jbl,Headphone,https://www.thegioididong.com/tai-nghe-jbl,https://cdn.tgdd.vn/Brand/1/logo-JBL-220x48-1.jpg
Sony,Headphone,https://www.thegioididong.com/tai-nghe-sony,https://cdn.tgdd.vn/Brand/1/Sony54-b_50.jpg
Rezo,Headphone,https://www.thegioididong.com/tai-nghe-rezo,https://cdn.tgdd.vn/Brand/1/LOGO-REZO-220x48-1.png
Realme,Headphone,https://www.thegioididong.com/tai-nghe-realme,https://cdn.tgdd.vn/Brand/1/Realme42-b37-220x48-3.png
Awei,Headphone,https://www.thegioididong.com/tai-nghe-awei,https://cdn.tgdd.vn/Brand/1/Awei54-b_50.jpg
Hydrus,Headphone,https://www.thegioididong.com/tai-nghe-hydrus,https://cdn.tgdd.vn/Brand/1/220-48-220x48-3-220x48.jpg
Xiaomi,Headphone,https://www.thegioididong.com/tai-nghe-xiaomi,https://cdn.tgdd.vn/Brand/1/logo-xiaomi-220x48-10.png
Roman,Headphone,https://www.thegioididong.com/tai-nghe-roman,https://cdn.tgdd.vn/Brand/1/Roman54-b_54.jpg
Jabra,Headphone,https://www.thegioididong.com/tai-nghe-jabra,https://cdn.tgdd.vn/Brand/1/Jabra54-b_17.jpg
Beats,Headphone,https://www.thegioididong.com/tai-nghe-beats,https://cdn.tgdd.vn/Brand/1/Beats54-b_21.jpg
Anker,Headphone,https://www.thegioididong.com/tai-nghe-anker,https://cdn.tgdd.vn/Brand/1/Anker54-b_17.png
Harman Kardon,Headphone,https://www.thegioididong.com/tai-nghe-harman-kardon,https://cdn.tgdd.vn/Brand/1/Harman-Kardon54-b_21.jpg
Asus,Headphone,https://www.thegioididong.com/tai-nghe-asus,https://cdn.tgdd.vn/Brand/1/Asus54-b_23.png
Logitech,Headphone,https://www.thegioididong.com/tai-nghe-logitech,https://cdn.tgdd.vn/Brand/1/Logitech54-b_40.jpg
Oppo,Headphone,https://www.thegioididong.com/tai-nghe-oppo,https://cdn.tgdd.vn/Brand/1/OPPO42-b5-220x48-2.jpg
